label	definition	caption
Error signal	An audible warning signal indicating an issue or malfunction, often characterized by a high-pitched, repetitive sound, typically heard in electronic or industrial settings.	
Mosquito	Small, high-pitched insects that produce a buzzing or humming sound when flying, often heard in outdoor environments during warm weather.	
Sniff	The act of inhaling deeply through the nose, characterized by a sharp, nasal sound, often used to detect odors or to express curiosity.	
UK garage	A subgenre of electronic dance music originating in the United Kingdom, characterized by its distinctive rhythm, basslines, and synthesized sounds, often heard in clubs or raves.	
Fizz	A short, sharp, and high-pitched sound produced by the release of carbon dioxide gas, often heard in beverages, fireworks, or electrical sparks.	
Rapping	A rhythmic vocal style characterized by spoken lyrics over a beat, often associated with hip hop culture, featuring distinctive cadences, rhymes, and wordplay.	
Pant	A rapid, shallow breathing pattern characterized by short, sharp inhalations and exhalations, typically associated with physical exertion, stress, or anxiety.	
French horn	A brass musical instrument with a conical, flared bell, producing a rich, mellow sound, often used in orchestras or jazz ensembles.	
Toot	A short, sharp sound, typically produced by blowing air through a small opening, such as a whistle or a musical instrument.	
Rattle	A vibrating, shaking sound, often caused by loose parts or materials moving together, such as a car engine or a bag of marbles.	
Cumbia	A lively, rhythmic dance music originating from Colombia, characterized by syncopated percussion, melodic brass instruments, and energetic vocals.	
Kettle whistle	A high-pitched, whistling sound produced by a kettle, often used to signal the boiling of water or to attract attention.	
Wood	The sound of wood being cut, sawed, or planed, typically characterized by a sharp, resonant tone and varying intensity depending on the tool and technique used.	
Ding	A short, sharp, metallic sound often heard in electronic devices, alarms, or door openings.	
Music of Bollywood	A rich, melodic, and rhythmic musical style originating from India, characterized by intricate melodies, harmonies, and percussive elements, often accompanied by vocals and string instruments.	
Kuduro	A lively, energetic, and percussive dance music originating from Angola, characterized by its driving beat, syncopated rhythms, and distinctive brass section, often accompanied by vocals and chants.	
Human sounds		A diverse range of vocalizations and non-vocal sounds produced by humans, characterized by their unique patterns, rhythms, and pitches. These sounds can be heard in various settings, including homes, workplaces, public spaces, and natural environments, and often convey emotions, intentions, or information.
Unknown sound		An unidentifiable sound that does not conform to any known acoustic patterns or characteristics. It may be caused by various factors, such as environmental noise, mechanical malfunctions, or unknown sources, and can be challenging to distinguish from other sounds.
Video game sound		The auditory elements in video games, including background music, sound effects, and voiceovers. These sounds are designed to enhance the gaming experience, create immersive environments, and convey emotions and actions within the game.
microphone noise		Background hum or buzz produced by a microphone, often heard when recording or monitoring audio.
Audio logo		A short, distinctive sound or jingle used to identify a brand or company, typically heard in advertisements or promotional materials.
Audio feedback		A high-pitched, oscillating sound resulting from a microphone picking up its own output, often heard when adjusting audio settings or testing equipment.
Sweeping		A rhythmic, repetitive sound produced by a broom or other cleaning tool moving across a surface, often heard in residential or commercial settings during cleaning activities.
Lock		A metallic sound produced by the turning of a key or tumblers within a lock, typically heard when securing or unlocking a door or cabinet.
animals		A diverse range of sounds produced by various animals, including vocalizations, footsteps, and other actions or activities. These sounds can be heard in natural environments like forests, parks, or gardens, or in captive settings like zoos or farms.
